Name,Website,Stage,Industry,Tags,Region,Startup HQ,NumOfTags,Funding (USD),CompanySize,Funding_min,rate_percent,Allign with 2030,Funding_Avg,Opportunity_Level,Year of establishment
Virtual Medical Academy,https://medicalacademy.org/,Seed,Healthcare,"E-Learning,Podcasts / Audiobooks",Madinah,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,2.87,Yes,2.00M,Medium,2013
Activide,https://www.acti-vide.com,Pre-Seed,Technology,SaaS,Riyadh,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,0
Fitnas,Fitnas.net,Pre-Seed,"Technology ,Food & Beverages ,Wellness & Mental Health","Marketplace,Logistics",Riyadh,Saudi Arabia,2,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,0
AYEN,https://services.ayen.com.sa/home,Series A,"Real Estate,Technology","SaaS,Marketplace,Logistics",Riyadh,Saudi Arabia,3,6M – 15M,Startup / Small,6000000.0,75.6,Yes,10.50M,Medium,2018
CLST,www.clst.com,Pre-Series A,"Financial Services,Technology","Cryptocurrencies & NFTs,Fintech Infrastructure,Blockchain Solution ,SaaS,Web3& Metaverse ,B2B Financing",Riyadh,Saudi Arabia,6,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,0
OSJ for Information Technology,https://osj.ai,Pre-Series A,"Technology ,Financial Services,Education","Financial Solution,Fund Distribution ,AI & Machine Learning,SaaS,E-Learning",Riyadh,Saudi Arabia,5,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,0
Maksb,Maksb.sa,Pre-Seed,Technology,Marketplace,Riyadh,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,2024
RiFD,www.rifdfinance.com,Seed,"Financial Services,Technology","B2B Financing,Financial Solution",Riyadh,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,0
Light,Light.sa,Seed,Food & Beverages,"ePOS,SaaS,Loyalty ",Riyadh,Saudi Arabia,3,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,0
Qantara,www.qantara.studio,Pre-Seed,"Art & Design,Insurance ,Travel & Tourism","Brokerage,Fintech Infrastructure,Hospitality,Fund Distribution ,Financial Solution,Gifting ,Social Commerce ,Trading ",Riyadh,Saudi Arabia,8,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,0
Dunes Aero,Dunesaero.com,Seed,Technology,"Hardware & loT & Drones,AgriTech,AI & Machine Learning,APP Dev & PaaS,Logistics,Robotics ,SaaS",Makkah,Saudi Arabia,7,1M – 3M,Startup / Small,1000000.0,13.68,Yes,2.00M,Medium,2022
RevYou,https://www.linkedin.com/company/revyou-sa/,Pre-Seed,Technology,Advertisement,Makkah,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,13.68,Yes,1.25M,Low,2025
AI Atlas Inc.,https://www.aiatlasinc.ca,Pre-Seed,Technology,SaaS,Riyadh,Saudi Arabia,0,500K – 2M,Startup / Small,500000000.0,75.6,No,1.25M,Low,0
Rabaed,www.rabaedapp.com,Pre-Seed,"Technology ,Construction",SaaS,Riyadh,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,0
Uniex App,https://uniex.tech,Seed,"Education,Technology","AI & Machine Learning,E-Learning",Riyadh,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,0
Beon,Beon.sa,Pre-Seed,Technology,"SaaS,Marketplace",Madinah,Saudi Arabia,2,500K – 2M,Startup / Small,500000000.0,2.87,Yes,1.25M,Low,0
AISC,https://aisc.sa,Seed,Construction,"AI & Machine Learning,APP Dev & PaaS,Computer Vision",Riyadh,Saudi Arabia,3,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,0
