Name,Website,Featured,Stage,Industry,Tags,Region,Startup HQ,NumOfTags,Funding (USD),CompanySize,Funding_min,rate_percent,Allign with 2030,Funding_Avg,Opportunity_Level,Year of establishment
Hanna Health,https://www.hanna.health/,,Seed,"Healthcare,Technology ,Wellness & Mental Health","AI & Machine Learning,Hardware & loT & Drones,Telehealth ",Makkah,Saudi Arabia,3,1M – 3M,Startup / Small,1000000.0,13.68,Yes,2.00M,Medium,2025
Spare,www.tryspare.com,,Pre-Series A,Financial Services,Fintech Infrastructure,Riyadh,Saudi Arabia,1,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2018
Carology,www.carology.ai,,Seed,"Financial Services,Transportation & Automotive,Technology ","Car Solution ,Consumer Services,SaaS,Marketplace",Riyadh,Saudi Arabia,4,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2024
eCemX AI,https://ecemx.com/,,Pre-Seed,"Technology ,Real Estate,Construction","AI & Machine Learning,SaaS,Subscription",Riyadh,Saudi Arabia,3,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,
Azzam,https://azzam.sa,,Seed,Technology ,SaaS,Asir,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,0.96,Yes,2.00M,Medium,
Trell,www.trellapps.com,,Seed,"Financial Services,Logistics ","Financial Solution,B2B Financing,Logistics",Riyadh,Saudi Arabia,3,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
Dunes Aero,dunesaero.com,,Seed,"Technology ,Transportation & Automotive","Autonomous Driving ,Robotics ,SaaS,Industry 4.0",Riyadh,Saudi Arabia,4,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2022
Nafes AI,https://nafes.ai,,Seed,Technology ,AI & Machine Learning,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
Intella,www.intella.me,,Pre-Series A,Technology ,AI & Machine Learning,Riyadh,Saudi Arabia,1,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2021
WAKI,https://waki.sa,,Seed,"Financial Services,Technology ,Education","ePOS,Financial Solution,Fintech Infrastructure",Makkah,Saudi Arabia,3,1M – 3M,Startup / Small,1000000.0,13.68,Yes,2.00M,Medium,2022
Traderware,https://traderverse.io/,,Seed,"Education,Financial Services,Technology ,Gaming","Social Media,AI & Machine Learning,Blockchain Solution ,Cryptocurrencies & NFTs,SaaS,Financial Solution",Riyadh,Saudi Arabia,6,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2021
Codek,codek.sa,,Pre-Seed,Technology ,AI & Machine Learning,Riyadh,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,2024
Marafiq Company,Www.trymarafiq.com,,Seed,Consulting,SaaS,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
Sniper,Sniper.com.sa,,Seed,"Financial Services,Healthcare,Food & Beverages ,Entertainment,Consulting","BioTech,Brokerage,Crowdfunding,E-Commerce,Logistics",Riyadh,Saudi Arabia,5,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
NABD solutions,https://nabdsolutions.com,,Pre-Seed,"Technology ,Consulting,Distribution","Cyber Security ,AI & Machine Learning,Maintenance Service ,Fintech Infrastructure",Riyadh,Saudi Arabia,4,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,2022
Rab7,Rab7.com,,Seed,"Gaming,Technology ",Game Dev,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
moneymoon,moneymoon.sa,,Pre-Series A,Financial Services,Financial Solution,Riyadh,Saudi Arabia,1,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2023
OfinTech,ofintech.co,,Pre-Seed,"Financial Services,Technology ","Fintech Infrastructure,Financial Solution",Riyadh,Saudi Arabia,2,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,
راوية Rawiah,https://rawiah.com/,,Seed,Education,E-Learning,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
LDUN,https://ldun.com.sa,,Seed,Financial Services,"Financial Solution,B2B Financing,SME-Funding,BNPL",Riyadh,Saudi Arabia,4,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2021
UmrahCash,UmrahCash.com,,Seed,"Financial Services,Technology ","Financial Solution,Fintech Infrastructure,Fund Distribution ,Payment Gateway",Makkah,Saudi Arabia,4,1M – 3M,Startup / Small,1000000.0,13.68,Yes,2.00M,Medium,
Medical Cloud,www.alsahaba.sa,,Seed,Healthcare,Telehealth ,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,No,2.00M,Medium,2023
The first day,https://thefirstday.shop,,Pre-Seed,"Real Estate,Manufacturing ,Construction","Drop-Shipping ,E-Commerce,Marketplace",Eastern,Saudi Arabia,3,500K – 2M,Startup / Small,500000000.0,4.97,Yes,1.25M,Low,
مبيت,https://mabet.com.sa,,Seed,Travel & Tourism,,Makkah,Saudi Arabia,0,1M – 3M,Startup / Small,1000000.0,13.68,No,2.00M,Medium,2023
Truc-King,www.truc-king.com,,Seed,"Transportation & Automotive,Technology ,Logistics ","Aggregator,AI & Machine Learning,Autonomous Driving ,Brokerage,B2B Financing,Expense Mangement,Fleet Mangement ,Logistics,Marketplace,Transport & Micro Mobility",Riyadh,Saudi Arabia,10,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2024
Aiia.io,Aiia.io,,Seed,Technology ,ERP,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
DHAMEEN,http://dhameen.sa/,,Pre-Seed,Financial Services,Fintech Infrastructure,Asir,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,0.96,Yes,1.25M,Low,
NMI Skyspace,https://www.linkedin.com/in/nicole-mauthe-47b1677a?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,,Seed,"Technology ,Logistics ,Education,Robotics ,Healthcare,Manufacturing ","3D Printing,AI & Machine Learning,Autonomous Driving ,ClimateTech,Logistics,Robotics ,Manufacturing ",Riyadh,Saudi Arabia,7,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
NASAQ,https://www.linkedin.com/company/nasaqtravel,,Seed,Travel & Tourism,AI & Machine Learning,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2024
LASK - Advanced Composite Materials,https://poly-adhesive.my.canva.site/lask,,Seed,"Manufacturing ,Technology ",Hardware & loT & Drones,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
Growthin,Growth-in.net,,Pre-Seed,"Technology ,Media,Communication,Media Production",Advertisement,Makkah,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,13.68,Yes,1.25M,Low,2023
TechieMatter,Www.TechieMatter.com,,Seed,"HR & Recruitments,Professional Service ,Technology ","HR & Recruitment ,SaaS",Riyadh,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2020
OpenTech,https://opentech.sa/,,Seed,"Technology ,Consulting","3D Printing,AI & Machine Learning,Hardware & loT & Drones,AgriTech,Computer Vision,Blockchain Solution ,SaaS",Riyadh,Saudi Arabia,7,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
HiGem,higem.me,,Pre-Seed,Travel & Tourism,"AI & Machine Learning,Marketplace,Aggregator",Makkah,Saudi Arabia,3,500K – 2M,Startup / Small,500000000.0,13.68,Yes,1.25M,Low,
Green Life Company,www.greenlife.sa.com,,Series A,Technology ,"E-Commerce,Social Media,AgriTech",Riyadh,Saudi Arabia,3,6M – 15M,Startup / Small,6000000.0,75.6,Yes,10.50M,Medium,
gulf-el,gulf-el.com,,Seed,"Technology ,Transportation & Automotive","AI & Machine Learning,Autonomous Driving ,SaaS,X-as-a-service model ,Transport & Micro Mobility",Riyadh,Saudi Arabia,5,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
Smart Codes IT,https://www.linkedin.com/company/smart-code-for-information-technology/,,Seed,"Technology ,Consumer Service ,HR & Recruitments","CRM,Cyber Security ,Cloud Solution ,E-Commerce,Affiliate Marketing",Riyadh,Saudi Arabia,5,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
Air To MC2,https://www.mayenterprisesinc.com/,,Pre-Series A,"Technology ,Transportation & Automotive,Environment,Hardware,Renewable Energy","3D Printing,AgriTech,ClimateTech,Hardware & loT & Drones,Manufacturing ,Industry 4.0,Renewable Energy ",Makkah,Saudi Arabia,7,2M – 6M,Startup / Small,2000000.0,13.68,Yes,4.00M,Medium,
Unit,https://reu.com.sa/,,Pre-Seed,Real Estate,"E-Commerce,Affiliate Marketing,Blockchain Solution ,Cloud Solution ,Social Commerce ",Makkah,Saudi Arabia,5,500K – 2M,Startup / Small,500000000.0,13.68,Yes,1.25M,Low,
Almutanabi,no link available,,Seed,Financial Services,AI & Machine Learning,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
Mila Celebrations,https://www.mila.day/,,Seed,Entertainment,"E-Commerce,Marketplace",Riyadh,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2024
Oreed,https://oreed.org/ar,,Seed,Technology ,"E-Learning,SaaS,CRM",Riyadh,Saudi Arabia,3,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2023
Virtual Medical Academy,https://medicalacademy.org/,,Seed,Healthcare,"E-Learning,Podcasts / Audiobooks",Madinah,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,2.87,Yes,2.00M,Medium,2013
Activide,https://www.acti-vide.com,,Pre-Seed,Technology ,SaaS,Riyadh,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,
Fitnas,Fitnas.net,,Pre-Seed,"Technology ,Food & Beverages ,Wellness & Mental Health","Marketplace,Logistics",Riyadh,Saudi Arabia,2,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,
AYEN,https://services.ayen.com.sa/home,,Series A,"Real Estate,Technology ","SaaS,Marketplace,Logistics",Riyadh,Saudi Arabia,3,6M – 15M,Startup / Small,6000000.0,75.6,Yes,10.50M,Medium,2018
CLST,www.clst.com,,Pre-Series A,"Financial Services,Technology ","Cryptocurrencies & NFTs,Fintech Infrastructure,Blockchain Solution ,SaaS,Web3& Metaverse ,B2B Financing",Riyadh,Saudi Arabia,6,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,
OSJ for Information Technology,https://osj.ai,,Pre-Series A,"Technology ,Financial Services,Education","Financial Solution,Fund Distribution ,AI & Machine Learning,SaaS,E-Learning",Riyadh,Saudi Arabia,5,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,
Maksb,Maksb.sa,,Pre-Seed,Technology ,Marketplace,Riyadh,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,2024
RiFD,www.rifdfinance.com,,Seed,"Financial Services,Technology ","B2B Financing,Financial Solution",Riyadh,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
Light,Light.sa,,Seed,Food & Beverages ,"ePOS,SaaS,Loyalty ",Riyadh,Saudi Arabia,3,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
Qantara,www.qantara.studio,,Pre-Seed,"Art & Design,Insurance ,Travel & Tourism","Brokerage,Fintech Infrastructure,Hospitality,Fund Distribution ,Financial Solution,Gifting ,Social Commerce ,Trading ",Riyadh,Saudi Arabia,8,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,
